	Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	Organism	HGNC_symbol	Alias	Info
1041	1042	Dusp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024190	ENSMUST00000146077|ENSMUST00000235532|ENSMUST00000025025|ENSMUST00000236661|ENSMUST00000011196|ENSMUST00000126178	NM_013642	mouse	DUSP1		up
1042	1043	Layn	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000060594	ENSMUST00000098782|ENSMUST00000214993|ENSMUST00000214090|ENSMUST00000217212	NM_001033534	mouse	LAYN		up
1043	1044	Arhgef3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021895	ENSMUST00000225949|ENSMUST00000225494|ENSMUST00000224981|ENSMUST00000049206	NM_027871|NM_001289688|NM_001289687|NM_001289686	mouse	ARHGEF3		up
1044	1045	Ccdc9b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045838	ENSMUST00000059997|ENSMUST00000151270	NM_001001982	mouse	CCDC9B		up
1045	1046	Sgsm1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042216	ENSMUST00000112324|ENSMUST00000140981|ENSMUST00000147856|ENSMUST00000112325|ENSMUST00000145708|ENSMUST00000154248|ENSMUST00000057209|ENSMUST00000138266|ENSMUST00000048112|ENSMUST00000156340	NM_001162965|NM_172718|NM_001254731|NM_001309526|NM_001309528	mouse	SGSM1		up
1046	1047	Tmtc1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030306	ENSMUST00000203991|ENSMUST00000100772|ENSMUST00000140797|ENSMUST00000060095	NM_198967|NM_001347518	mouse	TMTC1		up
1047	1048	Aff2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031189	ENSMUST00000151662|ENSMUST00000033532|ENSMUST00000139977|ENSMUST00000143097	NM_008032	mouse	AFF2		up
1048	1049	Spata13	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021990	ENSMUST00000160973|ENSMUST00000159135|ENSMUST00000162131|ENSMUST00000162945|ENSMUST00000022566|ENSMUST00000160095|ENSMUST00000159729|ENSMUST00000162939|ENSMUST00000159169	NM_001404964|NM_001033272|NM_001310594	mouse	SPATA13		up
1049	1050	NA	25	all_sig_genes_35904237	PMID: 35904237	Gm12002	ENSMUST00000247184|ENSMUST00000247556|ENSMUST00000247171|ENSMUST00000247042|ENSMUST00000143593|ENSMUST00000247533|ENSMUST00000153794|ENSMUST00000174550		mouse			up
1050	1051	Pik3c2a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030660	ENSMUST00000206385|ENSMUST00000206219|ENSMUST00000206248|ENSMUST00000206805|ENSMUST00000170430|ENSMUST00000205767|ENSMUST00000205378	NM_011083	mouse	PIK3C2A		up
1051	1052	Bmpr2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000067336	ENSMUST00000186246|ENSMUST00000087435|ENSMUST00000190659	NM_007561	mouse	BMPR2		up
1052	1053	P2rx5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005950	ENSMUST00000136894|ENSMUST00000135202|ENSMUST00000006104	NM_001376982|NM_033321|NM_001376983	mouse	P2RX5		up
1053	1054	Ccng2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029385	ENSMUST00000149329|ENSMUST00000153260|ENSMUST00000130183|ENSMUST00000152097|ENSMUST00000031331|ENSMUST00000121127	NM_007635	mouse	CCNG2		up
1054	1055	Lamc3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026840	ENSMUST00000138325|ENSMUST00000135995|ENSMUST00000028187	NM_011836	mouse	LAMC3		up
1055	1056	4932438A13Rik	25	all_sig_genes_35904237	PMID: 35904237	Bltp1	ENSMUST00000198742|ENSMUST00000139219|ENSMUST00000129787|ENSMUST00000152564|ENSMUST00000196036|ENSMUST00000057272|ENSMUST00000211820|ENSMUST00000129721|ENSMUST00000152881|ENSMUST00000138152|ENSMUST00000108145|ENSMUST00000136746|ENSMUST00000200245|ENSMUST00000128061|ENSMUST00000136287|ENSMUST00000138950|ENSMUST00000146948|ENSMUST00000195933|ENSMUST00000143675|ENSMUST00000141740|ENSMUST00000148698|ENSMUST00000140480|ENSMUST00000123916	NM_172679	mouse			up
1056	1057	Pten	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000013663	ENSMUST00000140014|ENSMUST00000013807|ENSMUST00000249247|ENSMUST00000154806	NM_008960	mouse			up
1057	1058	Asxl1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042548	ENSMUST00000123215|ENSMUST00000227428|ENSMUST00000144722|ENSMUST00000109790|ENSMUST00000138571	NM_001039939	mouse	ASXL1		up
1058	1059	Cdh4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000000305	ENSMUST00000129659|ENSMUST00000098996|ENSMUST00000136411|ENSMUST00000000314|ENSMUST00000124708|ENSMUST00000108911	NM_001316723|NM_009867	mouse	CDH4		up
1059	1060	Gdap1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025777	ENSMUST00000026879|ENSMUST00000150457|ENSMUST00000189465|ENSMUST00000189736	NM_010267	mouse	GDAP1		up
1060	1061	Nipbl	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022141	ENSMUST00000052965	NM_027707|NM_201232	mouse	NIPBL		up
1061	1062	Gse1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031822	ENSMUST00000147327|ENSMUST00000141113|ENSMUST00000118136|ENSMUST00000120493|ENSMUST00000211997|ENSMUST00000180448|ENSMUST00000034279	NM_001145897|NM_198671|NM_001145896	mouse	GSE1		up
1062	1063	Olfm3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027965	ENSMUST00000081752|ENSMUST00000051309|ENSMUST00000149158	NM_153157|NM_153458|NM_001286750	mouse	OLFM3		up
1063	1064	Slc38a11	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000061171	ENSMUST00000127623|ENSMUST00000155962|ENSMUST00000141690|ENSMUST00000112420|ENSMUST00000155422|ENSMUST00000124918|ENSMUST00000152324|ENSMUST00000145583	NM_177074	mouse	SLC38A11		up
1064	1065	Aldh1a1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000053279	ENSMUST00000225249|ENSMUST00000224358|ENSMUST00000087638|ENSMUST00000224807|ENSMUST00000225313|ENSMUST00000225337	NM_001361505|NM_013467|NM_001361503|NM_001361504|NM_001361506	mouse	ALDH1A1		up
1065	1066	Ap1s2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031367	ENSMUST00000069041|ENSMUST00000112294|ENSMUST00000033734|ENSMUST00000140845	NM_001290378|NM_026887|NM_001290379	mouse	AP1S2		up
1066	1067	Zfhx2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000040721	ENSMUST00000188534|ENSMUST00000176665|ENSMUST00000036328|ENSMUST00000185430	NM_001039198	mouse	ZFHX2		up
1067	1068	Syt1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035864	ENSMUST00000156979|ENSMUST00000105276|ENSMUST00000064054|ENSMUST00000126278|ENSMUST00000146618|ENSMUST00000147593	NM_001358506|NM_001358502|NM_001358504|NM_009306|NM_001358501|NM_001252341|NM_001252342|NM_001358503	mouse	SYT1		up
1068	1069	Shh	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000002633	ENSMUST00000002708	NM_009170	mouse	SHH		up
1069	1070	Pkd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032855	ENSMUST00000228750|ENSMUST00000228581|ENSMUST00000226883|ENSMUST00000228745|ENSMUST00000228550|ENSMUST00000226178|ENSMUST00000227836|ENSMUST00000227058|ENSMUST00000227107|ENSMUST00000035565	NM_013630	mouse	PKD1		up
1070	1071	Amer1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000050332	ENSMUST00000084535	NM_175179	mouse	AMER1		up
1071	1072	Scube1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000016763	ENSMUST00000043634|ENSMUST00000076060|ENSMUST00000171496|ENSMUST00000230060|ENSMUST00000144773|ENSMUST00000016907|ENSMUST00000229057	NM_022723|NM_001271473|NM_001271472	mouse	SCUBE1		up
1072	1073	Zbtb37	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000043467	ENSMUST00000160056|ENSMUST00000163079|ENSMUST00000171748|ENSMUST00000162226|ENSMUST00000159250|ENSMUST00000177003|ENSMUST00000172044	NM_173424|NM_001356489	mouse	ZBTB37		up
1073	1074	Tox3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000043668	ENSMUST00000176034|ENSMUST00000109621|ENSMUST00000176616	NM_172913	mouse	TOX3		up
1074	1075	Adam22	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000040537	ENSMUST00000088744|ENSMUST00000050166|ENSMUST00000153427|ENSMUST00000046838|ENSMUST00000088761|ENSMUST00000153889|ENSMUST00000144241|ENSMUST00000130315|ENSMUST00000136524|ENSMUST00000199853|ENSMUST00000196356|ENSMUST00000124121|ENSMUST00000154935|ENSMUST00000115388|ENSMUST00000123168|ENSMUST00000197700|ENSMUST00000143929|ENSMUST00000115386|ENSMUST00000126384|ENSMUST00000136808|ENSMUST00000138652|ENSMUST00000115385|ENSMUST00000139048|ENSMUST00000139841	NM_001007221|NM_001310439|NM_001007220|NM_001310440|NM_001098225	mouse	ADAM22		up
1075	1076	Sipa1l3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030583	ENSMUST00000182911|ENSMUST00000181975|ENSMUST00000085809|ENSMUST00000182236|ENSMUST00000183275|ENSMUST00000183330|ENSMUST00000182223|ENSMUST00000182529|ENSMUST00000182009|ENSMUST00000183085|ENSMUST00000182484|ENSMUST00000182829|ENSMUST00000183081|ENSMUST00000182702|ENSMUST00000182780|ENSMUST00000183096|ENSMUST00000182011|ENSMUST00000183164	NM_001081028	mouse	SIPA1L3		up
1076	1077	B3galt1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034780	ENSMUST00000042456|ENSMUST00000188614|ENSMUST00000180887|ENSMUST00000112346	NM_001379329|NM_001379328|NM_001379327|NM_020283|NM_001379325|NM_001379324|NM_001379326	mouse	B3GALT1		up
1077	1078	Siglec1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027322	ENSMUST00000028794|ENSMUST00000110227|ENSMUST00000110226	NM_011426	mouse	SIGLEC1		up
1078	1079	Kcnq2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000016346	ENSMUST00000103050|ENSMUST00000103048|ENSMUST00000144592|ENSMUST00000145861|ENSMUST00000139458|ENSMUST00000149964|ENSMUST00000129073|ENSMUST00000103047|ENSMUST00000123336|ENSMUST00000049792|ENSMUST00000197015|ENSMUST00000152099|ENSMUST00000197599|ENSMUST00000129695|ENSMUST00000129361|ENSMUST00000140789|ENSMUST00000154164|ENSMUST00000081528|ENSMUST00000103051|ENSMUST00000016491|ENSMUST00000103049	NM_001006668|NM_001003825|NM_001006669|NM_001006674|NM_001302888|NM_001003824|NM_010611	mouse	KCNQ2		up
1079	1080	Sh3gl3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030638	ENSMUST00000177895|ENSMUST00000178526|ENSMUST00000180243|ENSMUST00000179318|ENSMUST00000179800|ENSMUST00000179150|ENSMUST00000032874|ENSMUST00000180183|ENSMUST00000177883	NM_001277954|NM_001277955|NM_017400	mouse	SH3GL3		up
1080	1081	Atm	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034218	ENSMUST00000118282|ENSMUST00000150244|ENSMUST00000132249|ENSMUST00000232179|ENSMUST00000126598|ENSMUST00000132403	NM_007499	mouse	ATM		up
1081	1082	Hbp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000002996	ENSMUST00000176520|ENSMUST00000167458|ENSMUST00000176643|ENSMUST00000176084|ENSMUST00000175686|ENSMUST00000176103|ENSMUST00000172314|ENSMUST00000175666|ENSMUST00000176138	NM_177993|NM_001361928|NM_153198	mouse	HBP1		up
1082	1083	Kif13b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000060012	ENSMUST00000224503|ENSMUST00000224677|ENSMUST00000100473|ENSMUST00000231130|ENSMUST00000224507|ENSMUST00000224126	NM_001081177	mouse	KIF13B		up
1083	1084	Ncoa1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020647	ENSMUST00000219373|ENSMUST00000217822|ENSMUST00000217674|ENSMUST00000217794|ENSMUST00000219275|ENSMUST00000085814|ENSMUST00000220434|ENSMUST00000219715|ENSMUST00000218191	NM_001408599|NM_010881|NM_001408597|NM_001408598|NM_001408601|NM_001408600	mouse	NCOA1		up
1084	1085	Phf13	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000047777	ENSMUST00000055688	NM_172705	mouse	PHF13		up
1085	1086	Epm2aip1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046785	ENSMUST00000135807|ENSMUST00000200053|ENSMUST00000060711	NM_175266	mouse	EPM2AIP1		up
1086	1087	4931406P16Rik	25	all_sig_genes_35904237	PMID: 35904237	Garre1	ENSMUST00000205581|ENSMUST00000108074|ENSMUST00000132975|ENSMUST00000206245|ENSMUST00000146025|ENSMUST00000205264|ENSMUST00000205618|ENSMUST00000085592|ENSMUST00000206399|ENSMUST00000206018	NM_172741|NM_001382305	mouse			up
1087	1088	Kcnj12	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042529	ENSMUST00000041944|ENSMUST00000089184|ENSMUST00000108717	NM_010603|NM_001267593	mouse	KCNJ18		up
1088	1089	Nap1l3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000055733	ENSMUST00000079490	NM_138742	mouse	NAP1L3		up
1089	1090	Serinc5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021703	ENSMUST00000049488|ENSMUST00000224250|ENSMUST00000224458	NM_172588	mouse	SERINC5		up
1090	1091	Glul	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026473	ENSMUST00000139476|ENSMUST00000153134|ENSMUST00000086199|ENSMUST00000140685|ENSMUST00000154576	NM_008131	mouse	GLUL		up
1091	1092	Sh3pxd2a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000053617	ENSMUST00000237828|ENSMUST00000111800|ENSMUST00000081619|ENSMUST00000237796	NM_008018|NM_001164717	mouse	SH3PXD2A		up
1092	1093	Plag1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000003282	ENSMUST00000151543|ENSMUST00000137439|ENSMUST00000003369|ENSMUST00000147035	NM_019969	mouse	PLAG1		up
1093	1094	Kcnn3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000000794	ENSMUST00000124584|ENSMUST00000000811	NM_080466	mouse	KCNN3		up
1094	1095	Map4k3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024242	ENSMUST00000234200|ENSMUST00000234486|ENSMUST00000112389|ENSMUST00000234249|ENSMUST00000234585|ENSMUST00000234481|ENSMUST00000025089|ENSMUST00000234133	NM_001360278|NM_001290345	mouse	MAP4K3		up
1095	1096	Timp3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020044	ENSMUST00000136045|ENSMUST00000020234|ENSMUST00000151134|ENSMUST00000132307	NM_011595	mouse	TIMP3		up
1096	1097	Samd4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021838	ENSMUST00000141767|ENSMUST00000137543|ENSMUST00000130046|ENSMUST00000228404|ENSMUST00000022386|ENSMUST00000226684|ENSMUST00000100672|ENSMUST00000227848|ENSMUST00000140571|ENSMUST00000125113|ENSMUST00000125688	NM_001310544|NM_028966|NM_001037221|NM_001163433	mouse	SAMD4A		up
1097	1098	Plxnc1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000074785	ENSMUST00000181244|ENSMUST00000218839|ENSMUST00000180514|ENSMUST00000099337|ENSMUST00000180573	NM_018797	mouse	PLXNC1		up
1098	1099	Ino80d	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000040865	ENSMUST00000188100|ENSMUST00000137511|ENSMUST00000133236|ENSMUST00000153992|ENSMUST00000240545|ENSMUST00000097718	NM_001406711|NM_001406706|NM_001406703|NM_001406707|NM_001406705|NM_001406701|NM_001406709|NM_001406713|NM_001406704|NM_001406714|NM_001081436|NM_001406708|NM_001406712|NM_001114609|NM_001406702|NM_001406710	mouse	INO80D		up
1099	1100	Macf1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028649	ENSMUST00000247737|ENSMUST00000123765|ENSMUST00000151346|ENSMUST00000146000|ENSMUST00000247736|ENSMUST00000106213|ENSMUST00000134458|ENSMUST00000147030|ENSMUST00000147228|ENSMUST00000154824|ENSMUST00000149022|ENSMUST00000238731|ENSMUST00000082108|ENSMUST00000140596|ENSMUST00000106224|ENSMUST00000238555|ENSMUST00000238866|ENSMUST00000125447|ENSMUST00000247738	NM_001199137|NM_001199136	mouse	MACF1		up
1100	1101	Tmem106b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029571	ENSMUST00000031556|ENSMUST00000136742|ENSMUST00000142798|ENSMUST00000142211|ENSMUST00000122916|ENSMUST00000124234	NM_027992	mouse	TMEM106B		up
1101	1102	Gng2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000043004	ENSMUST00000159028|ENSMUST00000055100|ENSMUST00000161247|ENSMUST00000159073|ENSMUST00000160013|ENSMUST00000162425	NM_010315|NM_001285908|NM_001285909|NM_001038637|NM_001285910|NM_001285911	mouse	GNG2		up
1102	1103	Slit2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031558	ENSMUST00000173107|ENSMUST00000174658|ENSMUST00000172998|ENSMUST00000174061|ENSMUST00000197737|ENSMUST00000197400|ENSMUST00000173303|ENSMUST00000173926|ENSMUST00000172484|ENSMUST00000174313|ENSMUST00000199024|ENSMUST00000174421|ENSMUST00000174487|ENSMUST00000170109|ENSMUST00000033967|ENSMUST00000196024|ENSMUST00000173686|ENSMUST00000172493|ENSMUST00000172561|ENSMUST00000173646|ENSMUST00000173774|ENSMUST00000172824|ENSMUST00000173671	NM_001291227|NM_001291228|NM_178804	mouse	SLIT2		up
1103	1104	Smad9	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027796	ENSMUST00000029371	NM_019483	mouse			up
1104	1105	Washc4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034560	ENSMUST00000219582|ENSMUST00000218570|ENSMUST00000038388|ENSMUST00000217842	NM_001033375	mouse	WASHC4		up
1105	1106	Kat6b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021767	ENSMUST00000182964|ENSMUST00000112458|ENSMUST00000182855|ENSMUST00000183055|ENSMUST00000182859|ENSMUST00000183201|ENSMUST00000096222|ENSMUST00000238837|ENSMUST00000182732|ENSMUST00000069648|ENSMUST00000183228|ENSMUST00000226589|ENSMUST00000182996|ENSMUST00000182405	NM_001408696|NM_001205241|NM_001408695|NM_017479	mouse	KAT6B		up
1106	1107	Ep300	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000055024	ENSMUST00000190035|ENSMUST00000189338|ENSMUST00000206833|ENSMUST00000206936|ENSMUST00000068387|ENSMUST00000187776|ENSMUST00000185967|ENSMUST00000206431|ENSMUST00000205816|ENSMUST00000185375	NM_177821	mouse	EP300		up
1107	1108	Hipk3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027177	ENSMUST00000111124|ENSMUST00000132622|ENSMUST00000028600|ENSMUST00000111125	NM_001145824|NM_010434	mouse	HIPK3		up
1108	1109	Shroom2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045180	ENSMUST00000152746|ENSMUST00000101141|ENSMUST00000124141|ENSMUST00000141677|ENSMUST00000062317|ENSMUST00000137217	NM_001290684|NM_172441|NM_001290686|NM_001290685	mouse	SHROOM2		up
1109	1110	Tmem200a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000049420	ENSMUST00000217910|ENSMUST00000219872|ENSMUST00000218232|ENSMUST00000219651|ENSMUST00000219338|ENSMUST00000066049	NM_001358814|NM_029881	mouse	TMEM200A		up
1110	1111	Kmt2e	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029004	ENSMUST00000094962|ENSMUST00000126586|ENSMUST00000196889|ENSMUST00000196260|ENSMUST00000115128|ENSMUST00000146375|ENSMUST00000194010|ENSMUST00000200330|ENSMUST00000197591	NM_026984	mouse	KMT2E		up
1111	1112	Zfp526	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046541	ENSMUST00000055604	NM_175436	mouse	ZNF526		up
1112	1113	Gpm6b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031342	ENSMUST00000112235|ENSMUST00000112228|ENSMUST00000112229|ENSMUST00000143263|ENSMUST00000129731|ENSMUST00000112224|ENSMUST00000112227|ENSMUST00000112233|ENSMUST00000060210|ENSMUST00000112223|ENSMUST00000112226|ENSMUST00000123408	NM_023122|NM_001177958|NM_001177956|NM_001177959|NM_001177960|NM_001177961|NM_001177962|NM_001177955|NM_001177957	mouse	GPM6B		up
1113	1114	Brdt	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029279	ENSMUST00000031215|ENSMUST00000162804|ENSMUST00000161377|ENSMUST00000112677	NM_054054|NM_001079873	mouse	BRDT		up
1114	1115	Grik2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000056073	ENSMUST00000219051|ENSMUST00000220330|ENSMUST00000218669|ENSMUST00000079751|ENSMUST00000217673|ENSMUST00000218441|ENSMUST00000220263|ENSMUST00000105484|ENSMUST00000218823|ENSMUST00000218598|ENSMUST00000219509	NM_010349|NM_001358866|NM_001111268	mouse	GRIK2		up
1115	1116	Ppfia2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000053825	ENSMUST00000169303|ENSMUST00000217854|ENSMUST00000219024|ENSMUST00000029404	NM_001359686|NM_001359694|NM_001359677|NM_001359685|NM_001359673|NM_001359689|NM_001359680|NM_001359691|NM_001359693|NM_001359679|NM_001359683|NM_001359672|NM_001359697|NM_001359692|NM_001359682|NM_001359695|NM_001359684|NM_001359681|NM_001359698|NM_001359696|NM_001359688|NM_001359678|NM_001205341|NM_001359690|NM_001359674|NM_001359675|NM_001359676|NM_001359687|NM_177373	mouse	PPFIA2		up
1116	1117	A830010M20Rik	25	all_sig_genes_35904237	PMID: 35904237	Btbd8	ENSMUST00000212858|ENSMUST00000211896|ENSMUST00000152474|ENSMUST00000162298|ENSMUST00000060553|ENSMUST00000133800|ENSMUST00000100951	NM_001378266|NM_001168557|NM_001384112	mouse			up
1117	1118	Zc3h12c	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035164	ENSMUST00000213645|ENSMUST00000165519	NM_001162921|NM_001368810	mouse	ZC3H12C		up
1118	1119	Adcy6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022994	ENSMUST00000226500|ENSMUST00000226236|ENSMUST00000228566|ENSMUST00000227501|ENSMUST00000228903|ENSMUST00000228596|ENSMUST00000096224	NM_001368413|NM_001410362|NM_001410364|NM_007405|NM_001410368|NM_001410365|NM_001410367|NM_001410366|NM_001410361|NM_001410363	mouse	ADCY6		up
1119	1120	Vamp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030337	ENSMUST00000160523|ENSMUST00000100942|ENSMUST00000205223|ENSMUST00000032487|ENSMUST00000159547|ENSMUST00000063588	NM_009496|NM_001080557	mouse	VAMP1		up
1120	1121	Tns1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000055322	ENSMUST00000191204|ENSMUST00000189228|ENSMUST00000169786|ENSMUST00000191264|ENSMUST00000186381|ENSMUST00000212888|ENSMUST00000189571|ENSMUST00000191527|ENSMUST00000185702|ENSMUST00000191104|ENSMUST00000187281|ENSMUST00000188942|ENSMUST00000190599|ENSMUST00000185331|ENSMUST00000185529|ENSMUST00000239451|ENSMUST00000190389|ENSMUST00000191367|ENSMUST00000187584|ENSMUST00000187691|ENSMUST00000188436|ENSMUST00000185264|ENSMUST00000188208	NM_027884|NM_001289895	mouse	TNS1		up
1121	1122	Inpp4b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037940	ENSMUST00000169387|ENSMUST00000213285|ENSMUST00000215332|ENSMUST00000169116|ENSMUST00000109851|ENSMUST00000217122|ENSMUST00000109852|ENSMUST00000165821|ENSMUST00000216387|ENSMUST00000172167|ENSMUST00000164870|ENSMUST00000170160|ENSMUST00000172031|ENSMUST00000042529|ENSMUST00000216036	NM_001297596|NM_001024617|NM_001297593|NM_001297591	mouse	INPP4B		up
1122	1123	D430041D05Rik	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000068373	ENSMUST00000149165|ENSMUST00000141159|ENSMUST00000136156|ENSMUST00000089726|ENSMUST00000156278|ENSMUST00000155458|ENSMUST00000230671	NM_001368844|NM_001033347	mouse	KIAA1549L		up
1123	1124	Wdr81	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045374	ENSMUST00000135804|ENSMUST00000117392|ENSMUST00000132442|ENSMUST00000173320	NM_138950	mouse	WDR81		up
1124	1125	Trim33	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000033014	ENSMUST00000197779|ENSMUST00000106860|ENSMUST00000198969|ENSMUST00000197365|ENSMUST00000029444|ENSMUST00000196678|ENSMUST00000198706	NM_001079830|NM_053170	mouse	TRIM33		up
1125	1126	NA	25	all_sig_genes_35904237	PMID: 35904237	Gm43980	ENSMUST00000204899		mouse			up
1126	1127	Bbx	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022641	ENSMUST00000114488|ENSMUST00000066037|ENSMUST00000089399|ENSMUST00000131695|ENSMUST00000138166|ENSMUST00000142818|ENSMUST00000130210|ENSMUST00000089404|ENSMUST00000114477	NM_001347240|NM_027444	mouse	BBX		up
1127	1128	Cdk14	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028926	ENSMUST00000132390|ENSMUST00000115451|ENSMUST00000133465|ENSMUST00000167567|ENSMUST00000137554|ENSMUST00000115450|ENSMUST00000030763|ENSMUST00000115452|ENSMUST00000199623|ENSMUST00000153331|ENSMUST00000171119|ENSMUST00000200637|ENSMUST00000131392|ENSMUST00000156660|ENSMUST00000134867	NM_011074|NM_001310448	mouse	CDK14		up
1128	1129	Tshz1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046982	ENSMUST00000237918|ENSMUST00000235188|ENSMUST00000060303|ENSMUST00000175783	NM_001364994|NM_001364993|NM_001081300	mouse	TSHZ1		up
1129	1130	Fbxo32	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022358	ENSMUST00000022986	NM_026346	mouse	FBXO32		up
1130	1131	Scd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037071	ENSMUST00000236824|ENSMUST00000235741|ENSMUST00000041331	NM_009127	mouse			up
1131	1132	Foxk1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000056493	ENSMUST00000198422|ENSMUST00000072837	NM_199068	mouse	FOXK1		up
